我刚刚开始record,persona,1
嗯hello我的名字叫徐妍,persona,1
嗯初次见面nice to meet you嗯,persona,more
今天呢我非常希望能够通过这个机会去跟你make friends,persona,more
我们平时能够遇见其他stranger的机会其实不是很多所以其实这样的一个机会我还是觉得,persona,1
很honour的,persona,1
嗯我不知道好像我不太确定你家是不是也是来自一个similar city所以,persona,more
嗯接下来我们也可以再接下来我们可以讨论一下吃海鲜啊also sea food also the sea shore also the sunlight something like that,persona,more
我的hobby是读书,persona,1
and我也很喜欢哈outdoor那些运动,persona,more
比如说go hiking啊之类的,persona,more
ok嗯,persona,1
呃我我有我的其他的关于我其他的一些hobby啊,persona,1
i like i like武侠小小说超超级喜欢,persona,more
i remember呃在我本科的时候我花过挺长的时间,persona,more
嗯对啊对啊我也很喜欢reading books,persona,more
看谁的呃一些novel所以你也跟我说了你喜欢看金庸的嘛,persona,1
嗯actually i read i didn't read a lot of books about jin yong,persona,more
because嗯其实金庸他呃相对来说,persona,1
嗯比较old,persona,1
cruel thing like武打呀,persona,more
like呃江湖啊,persona,1
呃something like that所以我基本上我看到小的时候看的都是一种,persona,more
love stories或者是,persona,more
呃比如说关于一些神啊关于god,persona,1
关于一些其他的奇奇怪怪的religions some something like that,persona,more
嗯关于玄幻类的比如说three body,persona,more
in Chinese is 三体,persona,more
嗯black forest theory,persona,more
他的imagination is so good,persona,more
because i was already被被这本书吸引,persona,more
嗯usually I呃want to read some books before期末考试,persona,more
快快要期末考试了他可能觉得非常stress非常nervous,persona,more
他想要找一些东西来relax所以他可能会选择read some books try to like relax吧,persona,more
我特别想问你个问题你喜欢耽美小说吗it's like boys loves each other and they try to be together,persona,more
and嗯many people even for some boys可能他有女朋友they have girl friend but they try to they love each other,persona,more
no嗯I have not read this book [UNK] kind of book yeah so,persona,more
but for now我觉得哦呃,persona,more
but呃no I do,persona,more
嗯对我只是比较的curious about it因为就是merry many girls love it,persona,more
对我们要不然聊一点别的吧因为我们聊reading books聊的挺久的了,persona,more
比如说我们聊一聊嗯嗯嗯要不然你你propose一个吧因为,persona,1
呃我的话其实各种类型的电影都还有挺ok的,persona,1
但是也不妨一些其他的那种青春校园类型的都还蛮ok的,persona,1
虽然这听起来很非常的没意思totally impossible,persona,more
呃in this interview i can not remember any anyone of them,persona,more
嗯which means that I actually I saw a lot但我现在啥也想不起来了对那没有办法,persona,more
不是关于love story,persona,more
focus放在剧情上的focus on the script but not the action but not the特效,persona,more
but not the like the画面it's like that but当当然画面也很重要啦,persona,more
啊view a good view is important,persona,more
but嗯,persona,1
oh I see嗯,persona,more
so一开始是,persona,1
呃the plot and the whole story is also very interesting,persona,more
哎呀对对对我也看过那部电影我当时这部电影i watched about,persona,more
嗯这电影真的非常的yeah appealing,persona,more
呃说起这部电影真的是嗯我觉得很sweet,persona,1
对无论是男生还是女生都非常的sweet and,persona,more
嗯it's纯真,persona,more
嗯I also really like the the女主,persona,more
