1,我 刚刚 开始 record,PN AD VV NR,1,['record'],[3],['NR'],persona,train,0
2,嗯 hello 我 的 名字 叫 徐妍,IJ NR PN DEG NN VV NR,1,['hello'],[1],['NR'],persona,train,1
3,嗯 初次 见面 nice to meet you 嗯,IJ AD VV VA P URL PN IJ,more,,,,persona,train,2
4,今天 呢 我 非常 希望 能够 通过 这个 机会 去 跟 你 make friends,NT SP PN AD VV VV VV DT NN VV P PN VV NN,more,,,,persona,train,3
5,我们 平时 能够 遇见 其他 stranger 的 机会 其实 不 是 很多 所以 其实 这样 的 一 个 机会 我 还是 觉得,PN AD VV VV DT NN DEC NN AD AD VC CD AD AD VA DEC CD M NN PN AD VV,1,['stranger'],[5],['NN'],persona,train,5
6,很 honour 的,AD VA SP,1,['honour'],[1],['VA'],persona,train,6
7,嗯 我 不 知道 好像 我 不 太 确定 你 家 是 不 是 也 是 来自 一 个 similar city 所以,IJ PN AD VV AD PN AD AD VV PN NN VC AD VC AD VC VV CD M NN NN AD,more,,,,persona,train,10
8,嗯 接下来 我们 也 可以 再 接下来 我们 可以 讨论 一下 吃 海鲜 啊 also sea food also the sea shore also the sunlight something like that,IJ AD PN AD VV AD AD PN VV VV AD VV NN SP NR NN VV NR DT NN NN NN DT NN NN VV CS,more,,,,persona,train,11
9,我 的 hobby 是 读书,PN DEG NN VC VV,1,['hobby'],[2],['NN'],persona,train,13
10,and 我 也 很 喜欢 哈 outdoor 那些 运动,CC PN AD AD VV IJ VV DT NN,2,"['and', 'outdoor']","[0, 6]","['CC', 'VV']",persona,train,15
11,比如说 go hiking 啊 之类 的,AD VV NR SP NN DEG,more,,,,persona,train,16
12,ok 嗯,NN IJ,1,['ok'],[0],['NN'],persona,train,19
13,呃 我 我 有 我 的 其他 的 关于 我 其他 的 一些 hobby 啊,IJ PN PN VE PN DEG DT DEG P PN DT DEG CD NN SP,1,['hobby'],[13],['NN'],persona,train,31
14,i like i like 武侠 小小说 超超级 喜欢,NN VV AD VV NN NN AD VV,more,,,,persona,train,38
15,i remember 呃 在 我 本科 的 时候 我 花 过 挺 长 的 时间,NN NN IJ P PN NN DEC NN PN VV AS AD VA SP NN,more,,,,persona,train,41
16,嗯 对 啊 对啊 我 也 很 喜欢 reading books,IJ VA SP NN PN AD AD VV VV NN,more,,,,persona,train,47
17,看 谁 的 呃 一些 novel 所以 你 也 跟 我 说 了 你 喜欢 看 金庸 的 嘛,VV PN DEG IJ CD NN AD PN AD P PN VV AS PN VV VV NR DEG SP,1,['novel'],[5],['NN'],persona,train,49
18,嗯 actually i read i didn't read a lot of books about jin yong,IJ AD AD VV NN NN NN NN NN P JJ NN NN NN,more,,,,persona,train,51
19,because 嗯 其实 金庸 他 呃 相对来说,NR IJ AD NR PN IJ AD,1,['because'],[0],['NR'],persona,train,52
20,嗯 比较 old,IJ AD JJ,1,['old'],[2],['JJ'],persona,train,53
21,cruel thing like 武打 呀,NR NN VV NN SP,more,,,,persona,train,57
22,like 呃 江湖 啊,VV IJ NN SP,1,['like'],[0],['VV'],persona,train,58
23,呃 something like that 所以 我 基本上 我 看到 小 的 时候 看 的 都 是 一 种,IJ NN VV CS AD PN AD PN VV JJ DEG NN LC DEG AD VC CD M,more,,,,persona,train,59
24,love stories 或者是,VV NN CC,more,,,,persona,train,61
25,呃 比如说 关于 一些 神 啊 关于 god,IJ AD P CD NN SP P NR,1,['god'],[7],['NR'],persona,train,63
26,关于 一些 其他 的 奇奇怪怪 的 religions some something like that,P CD DT DEG VV DEC NN NN NN VV CS,more,,,,persona,train,64
27,嗯 关于 玄幻类 的 比如说 three body,IJ P NN DEG AD JJ NN,more,,,,persona,train,71
28,in Chinese is 三体,P NN VC NN,more,,,,persona,train,72
29,嗯 black forest theory,IJ NN JJ NN,more,,,,persona,train,76
30,他 的 imagination is so good,PN DEG NN VC NR NN,more,,,,persona,train,79
31,because i was already 被 被 这 本 书 吸引,NR NN NN NR SB LB DT M NN VV,more,,,,persona,train,98
32,嗯 usually I 呃 want to read some books before 期末 考试,IJ AD PN IJ VV P JJ NN AD VV NN NN,more,,,,persona,train,107
33,快快 要 期末 考试 了 他 可能 觉得 非常 stress 非常 nervous,AD VV NN VV AS PN AD VV AD AD AD VA,2,"['stress', 'nervous']","[9, 11]","['AD', 'VA']",persona,train,109
34,他 想要 找 一些 东西 来 relax 所以 他 可能 会 选择 read some books try to like relax 吧,PN VV VV CD NN MSP VV AD PN VV VV VV NN NN AD VV P VV NN SP,more,,,,persona,train,110
35,我 特别 想 问 你 个 问题 你 喜欢 耽 美 小说 吗 it's like boys loves each other and they try to be together,PN AD VV VV PN M NN PN VV VV NR NN SP AD VV AD AD VV NN CC NN VV P JJ NN,more,,,,persona,train,112
36,and 嗯 many people even for some boys 可能 他 有 女朋友 they have girl friend but they try to they love each other,CC IJ JJ NN NN P NN AD VV PN VE NN VV JJ JJ NN CC NN VV P NN VV VV NN,more,,,,persona,train,113
37,no嗯 I have not read this book kind of book yeah so,NN PN VV AD VV PN AD VV P JJ NN NN,more,,,,persona,train,115
38,but for now 我 觉得 哦呃,AD P NN PN VV NN,more,,,,persona,train,116
39,but 呃 no I do,AD IJ NN PN VV,more,,,,persona,train,118
40,嗯 对 我 只是 比较 的 curious about it 因为 就是 merry many girls love it,IJ P PN AD VV DEC NN VV NN P AD VV JJ NN VV NN,more,,,,persona,train,119
41,对 我们 要不然 聊 一点 别的 吧 因为 我们 聊 reading books 聊 的 挺 久 的 了,P PN AD VV AD DT SP P PN VV JJ NN VV DEC AD VA SP SP,more,,,,persona,train,121
42,比如说 我们 聊一聊嗯嗯嗯 要不然 你 你 propose 一 个 吧 因为,AD PN VV AD PN PN VV CD M SP P,1,['propose'],[6],['VV'],persona,train,122
43,呃 我 的话 其实 各 种 类型 的 电影 都 还有 挺 ok 的,IJ PN SP AD DT M NN DEG NN AD CC AD VA SP,1,['ok'],[12],['VA'],persona,train,125
44,但是 也 不妨 一些 其他 的 那 种 青春 校园 类型 的 都 还 蛮 ok 的,AD AD AD CD DT DEG DT M JJ NN NN DEG AD AD AD VV SP,1,['ok'],[15],['VV'],persona,train,127
45,虽然 这 听起来 很 非常 的 没意思 totally impossible,CS PN AD AD AD DEV VV NN NN,more,,,,persona,train,130
46,呃 in this interview i can not remember any anyone of them,IJ P PN NN NN VV VV NN JJ NN P NN,more,,,,persona,train,135
47,嗯 which means that I actually I saw a lot 但 我 现在 啥 也 想 不 起来 了 对那 没有 办法,IJ NN NN CS PN VV PN NN NN NN AD PN NT PN AD VV AD VV AS NN VE NN,more,,,,persona,train,136
48,不 是 关于 love story,AD VC P VV NN,more,,,,persona,train,140
49,focus 放在 剧情 上 的 focus on the script but not the action but not the 特效,AD VV NN LC DEG NN P DT NN CC NN DT NN CC NN DT NN,more,,,,persona,train,143
50,but not the like the 画面 it's like that but 当 当然 画面 也 很 重要 啦,AD AD DT VV DT NN AD VV CS AD P AD NN AD AD VA SP,more,,,,persona,train,144
51,啊 view a good view is important,IJ NN NN NN NN VC NR,more,,,,persona,train,145
52,but 嗯,AD IJ,1,['but'],[0],['AD'],persona,train,146
53,oh I see 嗯,NN PN NN IJ,more,,,,persona,train,147
54,so 一 开始 是,NN AD VV VC,1,['so'],[0],['NN'],persona,train,156
55,呃 the plot and the whole story is also very interesting,IJ DT NN CC DT NN NN VC AD VV NR,more,,,,persona,train,166
56,哎呀 对 对 对 我 也 看 过 那部 电影 我 当时 这 部 电影 i watched about,IJ VA VA VA PN AD VV AS NN NN PN NT DT M NN NN VV NN,more,,,,persona,train,168
57,嗯 这 电影 真的 非常 的 yeah appealing,IJ DT NN AD AD DEV VV NR,more,,,,persona,train,170
58,呃 说起 这 部 电影 真的 是 嗯 我 觉得 很 sweet,IJ VV DT M NN AD VC IJ PN VV AD VA,1,['sweet'],[11],['VA'],persona,train,174
59,对 无论是 男生 还是 女生 都 非常 的 sweet and,P AD NN CC NN AD AD DEV VV CC,more,,,,persona,train,175
60,嗯 it' s 纯真,IJ AD NN VA,2,"[""it'"", 's']","[1, 2]","['AD', 'NN']",persona,train,177
61,嗯 I also really like the the 女主,IJ PN VV AD VV DT DT NN,more,,,,persona,train,180
62,非常 的 好 compare to the the other two the the other girl,AD DEV VA VV P DT DT NN NN DT DT NN NN,more,,,,persona,train,182
63,talk about the hair the finger nail the 度假 这 种 类型,NN VV DT NN DT NN NN DT NN DT M NN,more,,,,persona,train,184
64,觉得 差不多 了 can we stop,VV VA AS VV PN NN,more,,,,persona,train,186
65,那 我们 接下来 聊 一 聊 啊 education,AD PN AD VV CD VV SP NR,1,['education'],[7],['NR'],education,train,188
66,我 觉得 这个 问题 可能 说 ban 有点 太 那个 可以 说是,PN VV DT NN VV VV NN AD AD PN VV VV,1,['ban'],[6],['NN'],education,train,204
67,okay 的 教师 的话 可能 应该 在 学期 一 开始 之前,NR DEG NN SP AD VV P NN AD VV AD,1,['okay'],[0],['NR'],education,train,220
68,就 已经 先 规划 好 他 的 teaching plan 就是 他 的,AD AD AD VV VA PN DEG NN NN AD PN DEG,more,,,,education,train,221
69,呃 他 每 一 节 课 他 要 delivery 什么 东西 然后 他 的 homework 是 什么,IJ PN DT CD M NN PN VV VV DT NN AD PN DEG NN VC PN,2,"['delivery', 'homework']","[8, 14]","['VV', 'NN']",education,train,222
70,如果 他 能够 在 一 开始 他 就 已经 制定 出 他 的 一 个 schedule,CS PN VV P AD VV PN AD AD VV VV PN DEG CD M NN,1,['schedule'],[15],['NN'],education,train,223
71,a week 要 给 学生 布置 什么 作业 的话 其实 这个 量 是 不 会 超 标的,CD NN VV P NN VV DT NN SP AD DT NN VC AD VV VV NN,more,,,,education,train,225
72,但是 就是 可能 在 我们 之前 的 一些 这个 preview study process,AD AD AD P PN LC DEG CD DT NN NN NN,more,,,,education,train,226
73,plan 的 一 个 问题 那 就 很对,NR DEG CD M NN PN AD VV,1,['plan'],[0],['NR'],education,train,234
74,这 是 真的 是 老师 的 那个 teaching plan 和 它 的 一 个 衡量 的 问题,PN VC AD VC NN DEG DT JJ NN CC PN DEG CD M VV DEC NN,more,,,,education,train,235
75,how to say 就 是 这个 要看 你 追求 的 是 什么,VV P NR AD VC PN VV PN VV DEC VC PN,more,,,,education,train,246
76,呃 phd 的 一 个,IJ NN DEG CD M,1,['phd'],[1],['NN'],education,train,248
77,一 个 degree 只 是 一 个 degree 而已 然后 拿 它 去,CD M NN AD VC CD M NN AD AD VV PN VV,2,"['degree', 'degree']","[2, 7]","['NN', 'NN']",education,train,249
78,[ UNK ] research pursuit 这样 的话 我 觉得 没有 必要,PU NR PU NR NN VA SP PN VV VE NN,more,,,,education,train,251
79,因为 实际上 如果 你 不 想 做 research 你 只是 说 希望 能够 有 一 个 更 高 的 起点 在 那 种 company 里面 啊 这 种 实际上 国内 这种,P AD CS PN AD VV VV NN PN AD VV VV VV VE CD M AD JJ DEG NN P DT M NN NN SP DT M AD NN VV,2,"['research', 'company']","[7, 23]","['NN', 'NN']",education,train,253
80,因为 国内 其实 很多 university 它 有 那 种 跟 企业 的 合作,P NN AD CD NN PN VE DT M P NN DEG NN,1,['university'],[4],['NN'],education,train,254
81,更 更 容易 social 一点 其实 我 觉得,AD AD AD VV AD AD PN VV,1,['social'],[3],['VV'],education,train,257
82,比较 注重 就 是 social 这 一 块儿 嗯 实际上 对于,AD VV AD VC NN DT CD M IJ AD P,1,['social'],[4],['NN'],education,train,259
83,无论是 master 还是 phd,AD NN AD NN,2,"['master', 'phd']","[1, 3]","['NN', 'NN']",education,train,261
84,他们 都 会 关注 所 说 的 部分 关于 research 的 部分 他们 都 会 有 一 点 的 分心,PN AD VV VV MSP VV DEC CD P NN DEG CD PN AD VV VE CD M DEG VV,1,['research'],[9],['NN'],education,train,262
85,这个 实际上 对 research 是 不利 的 但是 实际上,DT AD P NN VC VA DEC AD AD,1,['research'],[3],['NN'],education,train,263
