嗯初次见面nice to meet you嗯,persona,more
今天呢我非常希望能够通过这个机会去跟你make friends,persona,more
嗯我不知道好像我不太确定你家是不是也是来自一个similar city所以,persona,more
嗯接下来我们也可以再接下来我们可以讨论一下吃海鲜啊also sea food also the sea shore also the sunlight something like that,persona,more
比如说go hiking啊之类的,persona,more
i like i like武侠小小说超超级喜欢,persona,more
i remember呃在我本科的时候我花过挺长的时间,persona,more
嗯对啊对啊我也很喜欢reading books,persona,more
嗯actually i read i didn't read a lot of books about jin yong,persona,more
cruel thing like武打呀,persona,more
呃something like that所以我基本上我看到小的时候看的都是一种,persona,more
love stories或者是,persona,more
关于一些其他的奇奇怪怪的religions some something like that,persona,more
嗯关于玄幻类的比如说three body,persona,more
in Chinese is 三体,persona,more
嗯black forest theory,persona,more
他的imagination is so good,persona,more
because i was already被被这本书吸引,persona,more
嗯usually I呃want to read some books before期末考试,persona,more
他想要找一些东西来relax所以他可能会选择read some books try to like relax吧,persona,more
我特别想问你个问题你喜欢耽美小说吗it's like boys loves each other and they try to be together,persona,more
and嗯many people even for some boys可能他有女朋友they have girl friend but they try to they love each other,persona,more
no嗯I have not read this book  kind of book yeah so,persona,more
but for now我觉得哦呃,persona,more
but呃no I do,persona,more
嗯对我只是比较的curious about it因为就是merry many girls love it,persona,more
对我们要不然聊一点别的吧因为我们聊reading books聊的挺久的了,persona,more
虽然这听起来很非常的没意思totally impossible,persona,more
呃in this interview i can not remember any anyone of them,persona,more
嗯which means that I actually I saw a lot但我现在啥也想不起来了对那没有办法,persona,more
不是关于love story,persona,more
focus放在剧情上的focus on the script but not the action but not the特效,persona,more
but not the like the画面it's like that but当当然画面也很重要啦,persona,more
啊view a good view is important,persona,more
oh I see嗯,persona,more
呃the plot and the whole story is also very interesting,persona,more
哎呀对对对我也看过那部电影我当时这部电影i watched about,persona,more
嗯这电影真的非常的yeah appealing,persona,more
对无论是男生还是女生都非常的sweet and,persona,more
嗯I also really like the the女主,persona,more
非常的好compare to the the other two the the other girl,persona,more
talk about the hair the finger nail the度假这种类型,persona,more
觉得差不多了can we stop,persona,more
就已经先规划好他的teaching plan就是他的,education,more
a week要给学生布置什么作业的话其实这个量是不会超标的,education,more
但是就是可能在我们之前的一些这个preview study process,education,more
这是真的是老师的那个teaching plan和它的一个衡量的问题,education,more
how to say就是这个要看你追求的是什么,education,more
[UNK] research pursuit这样的话我觉得没有必要,education,more
对然后但是如果你真的有那种research pursuit你就想,education,more
做就是publish the best papers or publish the papers as much as,education,more
about  social or行政这个方面的事情,education,more
国内recruit那recruit professors or,education,more
然后我就跟career center的老师聊过,education,more
这是可能对于做一个很棒的一个research project其实没有这种想法,education,more
嗯so for me is not a education,education,more
当然你你也可以去寻求帮助但是主要是你自己的motivation self motivation一定要强就是你自己,education,more
而下午大家基本都在然后自己忙自己的事情如果说有的时候有team work这种,education,more
就是no one assign you to do something,education,more
因为我们我真的其实这个学期我们就是三节课然后再加一个research project嘛,education,more
然后就最近一直在做research project然后,education,more
啊呀it's maybe it's for  P H D,education,more
对所以就等于如果你读文学P H D的话你需要,education,more
