lease	租赁
house	房屋
bathroom	浴室
deck	甲板
flexible	灵活
email	电子邮件
full	满
driveway	车道
free	免费
share	分享
nice	好
available	可用
pet	宠物
return	返回
view	视图
couple	夫妇
doorman	看门人
neighborhood	邻里
budget	预算
indoor	室内
utility	效用
offer	提供
cover	封面
party	聚会
text	文本
bus	公共汽车
call	呼叫
block	块
bedroom	卧室
remodel	翻新
manager	经理
basement	地下室
room	房间
renew	续约
apartment	公寓
update	更新
visit	访问
playground	操场
fireplace	壁炉
prefer	偏爱
check	检查
bar	酒吧
union	联盟
scam	骗局
ps	附言
closet	衣柜
apt	公寓
gas	气体
lobby	大厅
garage	车库
houses	房子
bedrooms	卧室
quarter	四分之一
bath	浴缸
rooms	房间
sewage	污水
month	月
post	邮寄
bonus	奖金
location	位置
gym	健身房
studio	工作室
half	半
apartments	公寓
park	公园
duplex	双工
management	管理
money	钱
utilities	公用事业
furniture	家具
topic	主题
everything	一切
acc	加速器
chinese	中文
balcony	阳台
plus	加
centre	中心
window	窗口
set	套
safety	安全
only	仅
bill	账单
neighbourhood	邻里
pattern	模式
keep	保持
diner	用餐车
deposit	押金
summer	夏季
wireless	无线
shopping	购物
sheet	床单
purple	紫色
dealer	经销商
garden	花园
paper	纸
sale	出售
list	清单
condition	条件
sold	卖出
tab	标签
inspection	检查
prepaid	预付
plan	计划
integrated	综合
liability	责任
miles	英里
owner	所有者
link	链接
message	消息
beats	节奏
burner	燃烧器
soda	苏打水
seasoning	调味品
coding	编码
box	盒子
heater	加热器
thx	谢谢
size	尺寸
thread	线程
mechanic	机械师
bug	错误
parking	停车
permit	许可证
confirm	确认
jfk	肯尼迪机场
hello	你好
master	大师
paperwork	文件工作
m	米
quote	引用
rental	出租
office	办公室
phd	博士学位
tv	电视
building	建筑
ride	乘车
clean	清洁
sorry	抱歉
bbs	电子公告板系统
field	领域
microwave	微波
queen	皇后
portable	便携式
shift	转换
happy	快乐
agent	代理人
defamation	诽谤
review	评论
coverage	覆盖范围
updated	已更新
token	标记
visitor	访客
honda	本田
circle	圆圈
quiz	测验
property	财产
professional	专业
gre	研究生入学考试
deal	交易
theme	主题
show	展示
final	最终
modem	调制解调器
pass	通过
furnished	配备家具的
waive	放弃
undergraduate	本科生
ta	助教
mile	英里
gift	礼物
waiver	放弃
hi	嗨
club	俱乐部
request	请求
profile	简介
orientation	定位
officer	官员
shoe	鞋子
brother	兄弟
picture	图片
project	项目
preferred	首选
warranty	保修
backyard	后院
fall	秋季
car	车
state	状态
min	分钟
ie	即
thanks	谢谢
high	高
college	学院
days	天
baby	婴儿
title	标题
cable	电缆
american	美国人
router	路由器
yellow	黄色
line	线
lab	实验室
mean	意味着
biotechnology	生物技术
part	部分
fee	费用
tips	小费
low	低
info	信息
square	广场
visa	签证
reserved	保留
person	人
deliver	交付
shared	共享
social	社交
campus	校园
august	八月
funding	资金
mall	购物中心
leadership	领导
charge	费用
argue	争论
sponsor	赞助商
resume	简历
code	代码
refer	参考
examination	考试
bid	投标
lady	女士
stakeholders	利益相关者
firestone	火石
pictures	图片
spring	春季
trick	戏法
toilet	厕所
excellent	优秀
small	小
tag	标签
hotel	旅馆
holder	持有者
passport	护照
referral	转介
site	现场
availability	可用性
recycle	回收
blender	搅拌机
reliable	可靠
relocate	重新安置
front	前面
smooth	光滑
word	字
report	报告
case	案例
mic	麦克风
condo	公寓
usd	美元
shuttle	班车
attached	附加的
panel	面板
single	单一的
traffic	交通
popular	流行
barbecue	烧烤
trees	树木
appliances	家用电器
coupon	优惠券
pets	宠物
conditions	条件
trash	垃圾
center	中心
important	重要
laundry	洗衣房
tower	塔
restaurant	餐厅
booking	预订
flyer	传单
downtown	市中心
