我刚刚开始record,1,persona,train,0
嗯hello我的名字叫徐妍,1,persona,train,1
嗯初次见面nice to meet you嗯,more,persona,train,2
今天呢我非常希望能够通过这个机会去跟你make friends,more,persona,train,3
我们平时能够遇见其他stranger的机会其实不是很多所以其实这样的一个机会我还是觉得,1,persona,train,5
很honour的,1,persona,train,6
嗯我不知道好像我不太确定你家是不是也是来自一个similar city所以,more,persona,train,10
嗯接下来我们也可以再接下来我们可以讨论一下吃海鲜啊also sea food also the sea shore also the sunlight something like that,more,persona,train,11
我的hobby是读书,1,persona,train,13
and我也很喜欢哈outdoor那些运动,2,persona,train,15
比如说go hiking啊之类的,more,persona,train,16
ok嗯,1,persona,train,19
呃我我有我的其他的关于我其他的一些hobby啊,1,persona,train,31
i like i like武侠小小说超超级喜欢,more,persona,train,38
i remember呃在我本科的时候我花过挺长的时间,more,persona,train,41
嗯对啊对啊我也很喜欢reading books,more,persona,train,47
看谁的呃一些novel所以你也跟我说了你喜欢看金庸的嘛,1,persona,train,49
嗯actually i read i didn't read a lot of books about jin yong,more,persona,train,51
because嗯其实金庸他呃相对来说,1,persona,train,52
嗯比较old,1,persona,train,53
cruel thing like武打呀,more,persona,train,57
like呃江湖啊,1,persona,train,58
呃something like that所以我基本上我看到小的时候看的都是一种,more,persona,train,59
love stories或者是,more,persona,train,61
呃比如说关于一些神啊关于god,1,persona,train,63
关于一些其他的奇奇怪怪的religions some something like that,more,persona,train,64
嗯关于玄幻类的比如说three body,more,persona,train,71
in Chinese is 三体,more,persona,train,72
嗯black forest theory,more,persona,train,76
他的imagination is so good,more,persona,train,79
because i was already被被这本书吸引,more,persona,train,98
嗯usually I呃want to read some books before期末考试,more,persona,train,107
快快要期末考试了他可能觉得非常stress非常nervous,2,persona,train,109
他想要找一些东西来relax所以他可能会选择read some books try to like relax吧,more,persona,train,110
我特别想问你个问题你喜欢耽美小说吗it's like boys loves each other and they try to be together,more,persona,train,112
and嗯many people even for some boys可能他有女朋友they have girl friend but they try to they love each other,more,persona,train,113
no嗯I have not read this book kind of book yeah so,more,persona,train,115
but for now我觉得哦呃,more,persona,train,116
but呃no I do,more,persona,train,118
嗯对我只是比较的curious about it因为就是merry many girls love it,more,persona,train,119
对我们要不然聊一点别的吧因为我们聊reading books聊的挺久的了,more,persona,train,121
比如说我们聊一聊嗯嗯嗯要不然你你propose一个吧因为,1,persona,train,122
呃我的话其实各种类型的电影都还有挺ok的,1,persona,train,125
但是也不妨一些其他的那种青春校园类型的都还蛮ok的,1,persona,train,127
虽然这听起来很非常的没意思totally impossible,more,persona,train,130
呃in this interview i can not remember any anyone of them,more,persona,train,135
嗯which means that I actually I saw a lot但我现在啥也想不起来了对那没有办法,more,persona,train,136
不是关于love story,more,persona,train,140
focus放在剧情上的focus on the script but not the action but not the特效,more,persona,train,143
but not the like the画面it's like that but当当然画面也很重要啦,more,persona,train,144
啊view a good view is important,more,persona,train,145
but嗯,1,persona,train,146
oh I see嗯,more,persona,train,147
so一开始是,1,persona,train,156
呃the plot and the whole story is also very interesting,more,persona,train,166
哎呀对对对我也看过那部电影我当时这部电影i watched about,more,persona,train,168
嗯这电影真的非常的yeah appealing,more,persona,train,170
呃说起这部电影真的是嗯我觉得很sweet,1,persona,train,174
对无论是男生还是女生都非常的sweet and,more,persona,train,175
嗯it's纯真,2,persona,train,177
嗯I also really like the the女主,more,persona,train,180
非常的好compare to the the other two the the other girl,more,persona,train,182
talk about the hair the finger nail the度假这种类型,more,persona,train,184
觉得差不多了can we stop,more,persona,train,186
那我们接下来聊一聊啊education,1,education,train,188
我觉得这个问题可能说ban有点太那个可以说是,1,education,train,204
okay的教师的话可能应该在学期一开始之前,1,education,train,220
就已经先规划好他的teaching plan就是他的,more,education,train,221
呃他每一节课他要delivery什么东西然后他的homework是什么,2,education,train,222
如果他能够在一开始他就已经制定出他的一个schedule,1,education,train,223
a week要给学生布置什么作业的话其实这个量是不会超标的,more,education,train,225
但是就是可能在我们之前的一些这个preview study process,more,education,train,226
